plane,time,date
12234,22:00,Fri 5/5/2023
12234,22:30,Fri 5/5/2023
12234,23:00,Fri 5/5/2023
12234,23:30,Fri 5/5/2023
2773F,17:30,Fri 5/5/2023
2773F,18:00,Fri 5/5/2023
2773F,18:30,Fri 5/5/2023
2773F,19:00,Fri 5/5/2023
2773F,19:30,Fri 5/5/2023
2773F,20:00,Fri 5/5/2023
2773F,20:30,Fri 5/5/2023
2773F,21:00,Fri 5/5/2023
2773F,21:30,Fri 5/5/2023
2773F,22:00,Fri 5/5/2023
2773F,22:30,Fri 5/5/2023
2773F,23:00,Fri 5/5/2023
2773F,23:30,Fri 5/5/2023
2838Q,18:00,Fri 5/5/2023
2838Q,18:30,Fri 5/5/2023
2838Q,19:00,Fri 5/5/2023
2838Q,19:30,Fri 5/5/2023
2838Q,20:00,Fri 5/5/2023
2838Q,20:30,Fri 5/5/2023
2838Q,21:00,Fri 5/5/2023
2838Q,21:30,Fri 5/5/2023
2838Q,22:00,Fri 5/5/2023
2838Q,22:30,Fri 5/5/2023
2838Q,23:00,Fri 5/5/2023
2838Q,23:30,Fri 5/5/2023
4604V,17:30,Fri 5/5/2023
4604V,18:00,Fri 5/5/2023
4604V,18:30,Fri 5/5/2023
4604V,19:00,Fri 5/5/2023
4604V,19:30,Fri 5/5/2023
4604V,20:00,Fri 5/5/2023
4604V,20:30,Fri 5/5/2023
4604V,21:00,Fri 5/5/2023
4604V,21:30,Fri 5/5/2023
4604V,22:00,Fri 5/5/2023
4604V,22:30,Fri 5/5/2023
4604V,23:00,Fri 5/5/2023
4604V,23:30,Fri 5/5/2023
54102,18:00,Fri 5/5/2023
54102,18:30,Fri 5/5/2023
54102,19:00,Fri 5/5/2023
54102,19:30,Fri 5/5/2023
54102,20:00,Fri 5/5/2023
54102,20:30,Fri 5/5/2023
54102,21:00,Fri 5/5/2023
54102,21:30,Fri 5/5/2023
54102,22:00,Fri 5/5/2023
54102,22:30,Fri 5/5/2023
54102,23:00,Fri 5/5/2023
54102,23:30,Fri 5/5/2023
61637,19:00,Fri 5/5/2023
61637,19:30,Fri 5/5/2023
61637,20:00,Fri 5/5/2023
61637,20:30,Fri 5/5/2023
61637,21:00,Fri 5/5/2023
61637,21:30,Fri 5/5/2023
61637,22:00,Fri 5/5/2023
61637,22:30,Fri 5/5/2023
61637,23:00,Fri 5/5/2023
61637,23:30,Fri 5/5/2023
616SF,17:30,Fri 5/5/2023
616SF,18:00,Fri 5/5/2023
616SF,18:30,Fri 5/5/2023
616SF,19:00,Fri 5/5/2023
616SF,19:30,Fri 5/5/2023
616SF,20:00,Fri 5/5/2023
616SF,20:30,Fri 5/5/2023
616SF,21:00,Fri 5/5/2023
616SF,21:30,Fri 5/5/2023
616SF,22:00,Fri 5/5/2023
616SF,22:30,Fri 5/5/2023
616SF,23:00,Fri 5/5/2023
616SF,23:30,Fri 5/5/2023
6796H,17:30,Fri 5/5/2023
6796H,18:00,Fri 5/5/2023
6796H,18:30,Fri 5/5/2023
6796H,19:00,Fri 5/5/2023
6796H,19:30,Fri 5/5/2023
6796H,20:00,Fri 5/5/2023
6796H,20:30,Fri 5/5/2023
6796H,21:00,Fri 5/5/2023
6796H,21:30,Fri 5/5/2023
6796H,22:00,Fri 5/5/2023
6796H,22:30,Fri 5/5/2023
6796H,23:00,Fri 5/5/2023
6796H,23:30,Fri 5/5/2023
9027H,22:00,Fri 5/5/2023
9027H,22:30,Fri 5/5/2023
9027H,23:00,Fri 5/5/2023
9027H,23:30,Fri 5/5/2023
968RC,18:00,Fri 5/5/2023
968RC,18:30,Fri 5/5/2023
968RC,19:00,Fri 5/5/2023
968RC,19:30,Fri 5/5/2023
968RC,20:00,Fri 5/5/2023
968RC,20:30,Fri 5/5/2023
968RC,21:00,Fri 5/5/2023
968RC,21:30,Fri 5/5/2023
968RC,22:00,Fri 5/5/2023
968RC,22:30,Fri 5/5/2023
968RC,23:00,Fri 5/5/2023
968RC,23:30,Fri 5/5/2023
98485,17:30,Fri 5/5/2023
98485,18:00,Fri 5/5/2023
98485,18:30,Fri 5/5/2023
98485,19:00,Fri 5/5/2023
98485,19:30,Fri 5/5/2023
98485,20:00,Fri 5/5/2023
98485,20:30,Fri 5/5/2023
98485,21:00,Fri 5/5/2023
98485,21:30,Fri 5/5/2023
98485,22:00,Fri 5/5/2023
98485,22:30,Fri 5/5/2023
98485,23:00,Fri 5/5/2023
98485,23:30,Fri 5/5/2023
